0	Gene Signature
MCF7	['B3GALNT1', 'SYTL2', 'ZFYVE21', 'WDR73', 'LNPEP', 'LASS2', 'GALNS', 'PSMC5', 'ZC3H11A', 'GPD1L', 'PI4K2A', 'SF3B4', 'GPATCH2', 'C6ORF97', 'CLDN3', 'ADCY9', 'GABPB1', 'ABAT', 'RNF114', 'SPDEF', 'RRN3P1', 'RNF115', 'PSMD6', 'PSMD4', 'CYP1B1', 'TAF9B', 'WDR59', 'SAP30BP', 'PMM2', 'NR2F2', 'ZNF14', 'PBX1', 'SQLE', 'SULT2B1', 'LXN', 'RRP1', 'LYPD3', 'ATXN7L3B', 'GATA3', 'ARPP19', 'C20ORF11', 'EPB41L1', 'SLC19A1', 'WDR37', 'JUP', 'ITPK1', 'H3F3B', 'IFT122', 'SIKE1', 'FXYD3', 'PI4KB', 'CENPN', 'CCDC6', 'CYB561', 'ZNF592', 'RBM8A', 'CLTC', 'ADIPOR1', 'CTCF', 'SLC7A2', 'TMEM164', 'MED18', 'MED13', 'ATXN3', 'FLVCR2', 'PNPO', 'MBD4', 'WWOX', 'TMOD3', 'LDOC1', 'MRPL46', 'RABIF', 'TM9SF1', 'TAOK2', 'EBAG9', 'C16ORF88', 'PHLPP2', 'RARG', 'OGFR', 'KIAA0182', 'SMG7', 'NSDHL', 'PSMB4', 'RNF139', 'ANXA9', 'MLYCD', 'ZNF688', 'ZNF443', 'TOR1A', 'MREG', 'USP8', 'C21ORF33', 'SEMA4C', 'LARP4B', 'TEX2', 'DEF8', 'HIPK1', 'RNF40', 'RAB30', 'OLFM1', 'RALGAPB', 'MCM3APAS', 'MAPKAPK2', 'RAB35', 'SNRNP25', 'SNRPE', 'NHP2', 'CTNND2', 'SLC9A1', 'RNFT1', 'RNF31', 'KIAA0513', 'NRAS', 'BCL2L11', 'RAB21', 'RBBP5', 'CDH1', 'NBN', 'SLC16A7', 'STX6', 'SLC39A6', 'PIAS4', 'SLC15A2', 'FAM38A', 'FTSJ3', 'SLC9A3R1', 'PIAS3', 'GGCX', 'PDCL', 'PGP', 'SLC27A6', 'ZNF652', 'MOCS3', 'IRS1', 'PHB', 'THADA', 'UBFD1', 'IPO4', 'C1ORF56', 'WISP2', 'RHOBTB3', 'BAG3', 'EIF5B', 'SLC37A1', 'EIF2AK2', 'OSGIN2', 'ZNF75D', 'NPEPL1', 'DBNDD1', 'C6ORF211', 'ESRP2', 'PLEKHF2', 'SPATA2', 'C1ORF156', 'METTL13', 'RHOT2', 'P2RY2', 'BCAS3', 'BCAS2', 'CPT1A', 'ADRM1', 'IRX5', 'RPRD2', 'C1ORF144', 'BOLA1', 'HDGFRP3', 'TPD52L1', 'MCM3AP', 'PPM1D', 'RAB15', 'VAPB', 'MGAT4A', 'TRIM37', 'TRIM33', 'SMARCD2', 'CCDC47', 'WDR4', 'KIAA0100', 'U2AF1', 'SGCG', 'AP1G1', 'PHKG2', 'SIN3B', 'SUMO3', 'TRIM25', 'TLK2', 'DCAF11', 'CNNM3', 'EPHB3', 'CNNM4', 'MSMB', 'DCAF15', 'SP110', 'GPR37L1', 'KRT8', 'PPP1R3D', 'CD2BP2', 'HIST1H4H', 'ULK1', 'OBSL1', 'EPHA4', 'CALM1', 'AKAP1', 'SLC35B1', 'CALML5', 'DHX38', 'SUSD4', 'TBL1X', 'APBB2', 'N4BP3', 'C3ORF14', 'SLC12A9', 'SURF2', 'DTNA', 'XBP1', 'COG7', 'TMEM50B', 'SLC6A14', 'ANK3', 'CBFA2T3', 'SRPK2', 'PIK3R1', 'MYO5C', 'NET1', 'GRB2', 'SLC22A5', 'CDS1', 'BRCC3', 'BRIP1', 'SYNCRIP', 'HIST1H3B', 'C14ORF1', 'MRPL9', 'HIST1H3G', 'CSTF1', 'PDK3', 'ATP6V0A2', 'SCN1B', 'PATZ1', 'ARSD', 'NCOA3', 'NCOA1', 'STRADA', 'SLC10A3', 'GREB1', 'RHOD', 'COX6C', 'SCNM1', 'RAD51C', 'TOX4', 'RAP2C', 'KRT19', 'TFF1', 'CCDC101', 'DDR1', 'DHX9', 'IDE', 'NMD3', 'CSDE1', 'SUPT4H1', 'C17ORF71', 'TOR1AIP1', 'COIL', 'SH3BGRL', 'MPZL2', 'TOR3A', 'C9ORF114', 'FAM46A', 'MCCC2', 'GFRA1', 'THOC7', 'GAN', 'PACS2', 'XIAP', 'LLGL2', 'FOXA1', 'AP4E1', 'TUBD1', 'NUCKS1', 'CXCR7', 'TBC1D30', 'PGGT1B', 'HEATR6', 'TFAP2C', 'KLHL26', 'OSR2', 'PUS1', 'NPY1R', 'TRAPPC10', 'ALG13', 'KLHL20', 'EEF1A2', 'GPD2', 'SIDT1', 'PRR15L', 'BRWD1', 'PPIC', 'DCLRE1B', 'PRUNE', 'CHRNA5', 'ARID4A', 'UBE3B', 'CELSR2', 'ATAD2B', 'ZFP36L2', 'PAK2', 'CASKIN2', 'HIST1H2AE', 'MSX2', 'DSCAM', 'RAE1', 'ABCF3', 'TGIF2', 'TRAPPC2L', 'BPTF', 'PCYT1A', 'MR1', 'ISG15', 'ESR1', 'SSH3', 'DARS2', 'HIST2H2BE', 'TMEM111', 'PRPF6', 'TDRD1', 'APPBP2', 'PRPF3', 'LSM14B', 'SELT', 'FGFR2', 'DOCK6', 'C2ORF24', 'TACO1', 'NAT15', 'IGF1R', 'CREBZF', 'FAM174B', 'ALDH3B2', 'CHMP1A', 'SH3GL3', 'GALNT6', 'H2BFS', 'OAS1', 'BMP7', 'EPN3', 'GALK1', 'OAS3', 'IRF9', 'FBP1', 'PSMD12', 'USP32', 'HSPB8', 'HSPB1', 'PHTF1', 'FUT9', 'FUT8', 'MFSD5', 'CA4', 'MAN1A2', 'MBTPS1', 'HIST1H2AM', 'HIST1H2AJ', 'H2AFX', 'TPBG', 'TBC1D9', 'LSS', 'LSR', 'FAM179B', 'RPS6KB1', 'PPDPF', 'CLDN9', 'ANGEL1', 'HIST1H2BG', 'HIST1H2BF', 'HIST1H2BI', 'PFDN4', 'DAAM1', 'HIST1H2BH', 'HIST1H2BC', 'TAF4', 'HIST1H2BE', 'OTUB1', 'HIST1H2BD', 'KRT83', 'HIST1H2BO', 'USP10', 'DCTN5', 'EHMT1', 'TH1L', 'ATP2A3', 'USP18', 'GNA14', 'MAPK9', 'RMND5B', 'KYNU', 'GNA13', 'MAPK6', 'Na']
T3M4	['SLC12A6', 'RUNX1', 'SOX15', 'SOX13', 'EML2', 'ATG12', 'MTAP', 'FEZ1', 'EPHA2', 'CALM3', 'RIN1', 'HIST1H4G', 'TES', 'STX16', 'EHF', 'SAMD9', 'CCNF', 'CBLC', 'PRKAA1', 'CLDN1', 'ASCL1', 'GPR153', 'SPDEF', 'FZR1', 'SRP72', 'PPP4R4', 'MICALL1', 'ATXN7L1', 'HES2', 'N4BP1', 'FER1L4', 'TMEM184B', 'ZNF143', 'GML', 'PLK3', 'SIAH2', 'CSNK1E', 'PTK6', 'GPN3', 'UCHL3', 'VASP', 'BCR', 'CAMSAP1L1', 'EHD4', 'GJB3', 'GJB5', 'SMTN', 'TNNT3', 'NET1', 'PRKD2', 'GRB7', 'BAZ2A', 'LPAR3', 'RAPGEFL1', 'PDGFA', 'PPL', 'F11R', 'GHRHR', 'GLE1', 'NCRNA00216', 'ZC3H12A', 'GOLGA2', 'SFN', 'KCNN4', 'JUNB', 'TNS4', 'PDK2', 'TP63', 'BLCAP', 'PTGES2', 'TSC22D2', 'JHDM1D', 'RMI1', 'JUP', 'PCIF1', 'ROM1', 'KRT14', 'RHOD', 'MLF1', 'VAV2', 'VEGFA', 'IL1A', 'SLC7A5', 'ID1', 'KRT17', 'BHLHE40', 'FXYD3', 'ARHGEF4', 'PHF15', 'GMEB2', 'TINAGL1', 'ZC3HAV1', 'CLTA', 'ADRB2', 'AREG', 'SHB', 'PRDM10', 'SBNO1', 'FXR1', 'SEC14L2', 'AUH', 'PNPO', 'CCR8', 'MPZL2', 'MBNL1', 'MEF2D', 'C9ORF114', 'ARG2', 'SERPINB1', 'MCCC2', 'SERPINB9', 'ITCH', 'HEYL', 'ANO1', 'TMEM156', 'HNRNPUL2', 'LPCAT4', 'XIAP', 'B3GNT3', 'EPPK1', 'HBEGF', 'TRIP10', 'INVS', 'CSTA', 'HDC', 'PTGS1', 'ARNTL2', 'RECQL5', 'MC4R', 'AP3S1', 'HS3ST1', 'QPCTL', 'IL4R', 'LRRC68', 'PHLDA1', 'CORO2A', 'ZBTB17', 'ATP11A', 'TICAM1', 'TBL1XR1', 'CNOT3', 'PKP3', 'ELMO3', 'LY6D', 'ADAM8', 'ULBP2', 'AGRN', 'OSBP2', 'TYMP', 'DGKA', 'TUBB1', 'CCBL1', 'KLHL36', 'EGFR', 'STRN4', 'REM1', 'KRT6A', 'SLC9A3R2', 'RXRA', 'C1ORF106', 'PDPN', 'SH3BP1', 'RNF19B', 'EFNB1', 'TAF1A', 'MFN2', 'CEP250', 'FLNB', 'CAPN1', 'OSTF1', 'NLRP2', 'SLC16A3', 'ZNF787', 'KRT6B', 'MLL2', 'ESRRA', 'ODF2', 'DDX58', 'ARHGEF16', 'FST', 'MINK1', 'KRT36', 'GPR109B', 'FANCA', 'ISG15', 'SSH3', 'SSH1', 'NAT6', 'DIAPH1', 'MXD1', 'TRAF4', 'PRPF4', 'PDCL', 'FSCN1', 'ERF', 'FGFR3', 'ZNF771', 'COL17A1', 'PXN', 'NAB1', 'TUBGCP3', 'ETS2', 'HSPBP1', 'DDX60', 'FPGS', 'SOHLH2', 'ESD', 'PDZD2', 'MMP27', 'NEK2', 'EFHD2', 'PLXNA1', 'CBX8', 'TIPARP', 'GPX3', 'SH2D3A', 'CBX4', 'XCL1', 'CAV2', 'ITGA2', 'OR1F1', 'TNIP1', 'HMGA1', 'BAIAP2', 'EPN2', 'ARL4D', 'CDK9', 'DNAJC3', 'SP1', 'MMRN2', 'RBMS2', 'IRF6', 'PLCH2', 'DSG3', 'ITGA6', 'AAK1', 'KCNK1', 'GTF2A1', 'C9ORF167', 'B4GALT1', 'RTN2', 'ABCB6', 'ITPR3', 'TNFAIP1', 'FBXO46', 'FOXK2', 'ALOX12', 'PLD1', 'BICD2', 'ROD1', 'DBP', 'CALB1', 'CASP1', 'WASF2', 'MCL1', 'PTCRA', 'HSDL2', 'FEM1B', 'DST', 'IRX4', 'TPBG', 'GFER', 'PLAUR', 'KLF5', 'KLF4', 'KLF3', 'MYO1B', 'CTDSP2', 'DDIT4', 'DDIT3', 'MET', 'SLC25A10', 'B4GALT5', 'PLEKHH3', 'SEMA3B', 'ITGB4', 'CAMK2A', 'ZBTB43', 'SQRDL', 'TULP1', 'OASL', 'RPS6KA4', 'THBD', 'RPS6KA1', 'TRIM29', 'SRY', 'SLC25A22', 'BAK1', 'EPHB4', 'PCDH1', 'Na']
U20S	['STARD3', 'CADM4', 'AARSD1', 'CD3EAP', 'MED6', 'WDR77', 'LARP7', 'UPB1', 'MED7', 'DES', 'NECAP1', 'PSMC5', 'VOPP1', 'MYL3', 'MTHFD1', 'CDK13', 'CDK14', 'TCL6', 'JRK', 'WDR62', 'SLC5A2', 'ARAF', 'ASCL1', 'LOC222070', 'KIAA1324', 'SV2B', 'CHST10', 'PSMD3', 'MICALL1', 'MICALL2', 'VTI1B', 'PLCE1', 'MUC8', 'PKNOX2', 'ALOXE3', 'GTSE1', 'PHC3', 'ZNF142', 'APOOL', 'TPSG1', 'CYP4F2', 'FOSL2', 'LOC100129361', 'WDR5B', 'TSTA3', 'TDRKH', 'ACTL7A', 'IPO13', 'TRIO', 'PLA2G3', 'COPS7B', 'ELK1', 'GATA2', 'RRP9', 'ELK4', 'MRPL12', 'HTR4', 'PPP3R1', 'C6', 'DIMT1L', 'RNF216', 'ZNF280B', 'SFN', 'SLC19A1', 'MYBPC3', 'SAMD4B', 'CARD8', 'ASH1L', 'ZNF35', 'CDC6', 'LRRC23', 'LRRC20', 'MAGOHB', 'SLC7A6', 'GJD2', 'TADA2A', 'CENPJ', 'MMP19', 'LOC100288178', 'ACRV1', 'PHF17', 'RARA', 'SIGLEC9', 'ZNF236', 'TFCP2L1', 'SEL1L', 'NOC4L', 'AEBP1', 'RTDR1', 'LRRC6', 'DOM3Z', 'PRDM12', 'TAF5L', 'MRPL40', 'SHH', 'TCP11L1', 'HMGXB4', 'CEP55', 'TEAD4', 'ELOVL1', 'ATAD2', 'UTP3', 'MBD2', 'RNASE3', 'GPR6', 'FAM116B', 'CLIP4', 'APITD1', 'EBNA1BP2', 'AGPS', 'SRRD', 'APEX2', 'PLEKHO2', 'ANKRD40', 'RGR', 'LRRC14', 'OGG1', 'PIGR', 'TCF20', 'GLI2', 'CENPA', 'GLI3', 'GLRA2', 'RECQL4', 'ADAM29', 'PPP1R7', 'PLAGL1', 'STRA13', 'RRP12', 'CHML', 'CCL19', 'JAK3', 'RPL13P5', 'GPR137', 'MAP3K3', 'S100A2', 'TAP2', 'VRK2', 'KIAA0892', 'GPR52', 'COPS6', 'CSDA', 'FKBP4', 'LZTR1', 'ZNF434', 'AGRN', 'C21ORF45', 'ALDH1L1', 'RNMT', 'ODC1', 'UBE2D4', 'TUBA3C', 'TUBA3D', 'ZFP30', 'USP2', 'FLNC', 'KPNA6', 'C19ORF2', 'CPA4', 'ZNF783', 'EIF2B4', 'CPA2', 'EIF2B3', 'TMEM120B', 'FTSJ1', 'FOXN3', 'FTSJ2', 'LSM5', 'DGKZ', 'FANCG', 'CACNB3', 'MAG', 'SYNJ2', 'LHX3', 'SLCO1A2', 'BIRC5', 'ERF', 'CDC42EP1', 'ST6GALNAC5', 'BCAT1', 'EIF2C1', 'PFKFB1', 'CACNB1', 'ZNF410', 'MAX', 'TUBGCP3', 'PHB', 'RORC', 'FGF1', 'FOXM1', 'FGF6', 'LOC339290', 'SLCO2B1', 'FNTB', 'PMEPA1', 'NDN', 'ZKSCAN5', 'KCNJ9', 'RFC2', 'TXNRD2', 'EIF2AK1', 'HTR1B', 'LOC642236', 'BAIAP2', 'REXO4', 'GON4L', 'WRAP53', 'CDK9', 'PPP5C', 'MGC4294', 'DNAJC7', 'ERBB2IP', 'NF2', 'FGFR1OP', 'TNFRSF25', 'CDRT1', 'MOBKL2B', 'SAR1A', 'CNTNAP1', 'UFD1L', 'RASGRF1', 'CYP3A4', 'KLC2', 'C15ORF39', 'DNAJB5', 'DRD2', 'B4GALNT1', 'C6ORF208', 'EIF4E', 'OVGP1', 'CEP135', 'SEC22A', 'ADSL', 'ATRX', 'FOXJ2', 'HTR3B', 'RANGAP1', 'DNAJA1', 'GZMK', 'MYO1F', 'NOVA2', 'LPAL2', 'POLR1E', 'KCTD14', 'RQCD1', 'PCOLCE2', 'SLC25A10', 'TRABD', 'CANT1', 'PLUNC', 'RPL10L', 'SYNE1', 'PLG', 'NAGLU', 'PUF60', 'POLR2D', 'IGF2BP2', 'UBTF', 'EPHB2', 'RSAD1', 'ACTN2', 'ZPBP', 'C7ORF26', 'WDYHV1', 'JMJD6', 'ZW10', 'TMCC1', 'MT1G', 'LOC441601', 'HRASLS', 'MT1E', 'LRP6', 'CCNF', 'PRAMEF10', 'CISD1', 'YSK4', 'MRM1', 'MAGEA8', 'FZR1', 'CHORDC1', 'SNRPD3', 'OGFOD2', 'CDC27', 'TCEB3', 'MAGEA1', 'EXOSC2', 'MAGEA4', 'CER1', 'MAGEA5', 'PAQR6', 'MAGEC1', 'CSNK1E', 'ARC', 'SNW1', 'SMU1', 'TEX13B', 'INTS7', 'MAGEB2', 'TRMT12', 'SMAD5OS', 'PITPNB', 'TEX261', 'OSGEP', 'IKZF5', 'TRPM2', 'ART1', 'KCNN1', 'CSTF2', 'TRPM6', 'RPS14', 'TP63', 'FOXD1', 'CDSN', 'AMPD2', 'IL18', 'PPPDE1', 'NCR2', 'FUBP1', 'NME7', 'CSDC2', 'CTRL', 'RDH5', 'TLR6', 'TLR5', 'UMPS', 'SUV39H1', 'PTPRN', 'MLN', 'NEU3', 'DPH2', 'CLTCL1', 'TFE3', 'SMYD5', 'FAM55D', 'SCAND2', 'MPP5', 'GAD2', 'C1GALT1', 'NLE1', 'NR6A1', 'TPST2', 'ANO2', 'MAS1', 'MARS', 'KCNQ3', 'B3GNT4', 'HNRNPH3', 'PRIM2', 'PCLO', 'ALS2CL', 'CXCR1', 'NCS1', 'BCAP29', 'NFYA', 'ICOSLG', 'MGEA5', 'TRAPPC10', 'YLPM1', 'WBP11', 'GRIN1', 'DOK1', 'SLFN12', 'PPIF', 'UBE2K', 'PLAA', 'ALLC', 'ATF6B', 'BCCIP', 'CWC25', 'SLC1A5', 'FBLN1', 'TOMM22', 'ZNF7', 'LOXL3', 'DRP2', 'EFNB3', 'TATDN2', 'CCND2', 'HSF1', 'PURA', 'PES1', 'NT5C', 'TBC1D13', 'ABCF3', 'DCLRE1A', 'FGF22', 'PCID2', 'PSPN', 'USP46', 'RAP1GAP2', 'EIF2S1', 'TMEM5', 'H1F0', 'GEMIN6', 'CDH15', 'CASQ2', 'C16ORF42', 'LOC100294391', 'CHMP6', 'MGC2889', 'KRT19P2', 'DOCK9', 'CUZD1', 'ZMAT4', 'CHAD', 'MFAP3L', 'CBX7', 'RBM19', 'MKL1', 'RFPL3', 'CYP4A11', 'CBX2', 'NAP1L3', 'NAP1L2', 'HSPA4', 'PPP2R5E', 'MT4', 'EPN2', 'FES', 'RBM25', 'TTC26', 'B4GALT2', 'PYCRL', 'LMOD1', 'NRXN3', 'CHD4', 'PHTF2', 'PDLIM2', 'AFF1', 'PDLIM4', 'CALB2', 'GRK6', 'ZC3H7B', 'CA5B', 'RBM10', 'SNAPC1', 'RBM14', 'DNAI2', 'YWHAH', 'TRD@', 'WTAP', 'H2AFV', 'NPHS2', 'TOMM70A', 'PFDN6', 'CLUAP1', 'PRR5', 'ZNF174', 'GK2', 'ARHGDIA', 'RPS6KA4', 'SENP5', 'ALDH1B1', 'CNR2', 'PPP2R1B', 'POLD2', 'BMS1', 'CAMK2G', 'Na']
HSG	['ENDOG', 'CIZ1', 'FNBP4', 'ASS1', 'TFR2', 'SLPI', 'ULK1', 'SIK3', 'RIN3', 'SIK1', 'SLC24A6', 'FRMPD1', 'USP6NL', 'JRK', 'RALA', 'CPNE7', 'LRP4', 'FZD10', 'ADARB1', 'C4BPB', 'AQP3', 'RASIP1', 'IL27RA', 'LMF2', 'MUC1', 'GTPBP1', 'WDR70', 'C19ORF57', 'KLF11', 'ABCA3', 'ABCA7', 'INTS1', 'NCAPH2', 'CSNK1E', 'ALOX15B', 'FOSL2', 'MYLPF', 'C19ORF22', 'WDR61', 'C7ORF44', 'C19ORF21', 'INTS7', 'FBXL6', 'TSTA3', 'CELA3A', 'ZNF131', 'PDE1A', 'DCUN1D2', 'ENO2', 'TSKU', 'FAM134B', 'PCBP2', 'PDE2A', 'CEP72', 'ZBED1', 'PRKACA', 'PLAC4', 'ZER1', 'HYMAI', 'CCL22', 'PDHA1', 'CCL21', 'TESC', 'EMP2', 'TIMM22', 'RHOD', 'TRMT1', 'JOSD1', 'RHOB', 'GPRC5A', 'KRT17', 'KRT16', 'ARHGEF4', 'TECR', 'KPTN', 'EXOC3', 'AVPI1', 'BTG3', 'GPR20', 'POU5F1P4', 'POU5F1P3', 'MLN', 'SNTG2', 'PACSIN3', 'SCAND2', 'TEAD1', 'MPZL2', 'PRMT7', 'BRD4', 'SERPINB5', 'BRD3', 'HELLS', 'SERPINB3', 'DGAT1', 'GAD2', 'FAM46A', 'AGXT2L1', 'TTC3', 'KIAA1045', 'VASH2', 'WDR13', 'MLH3', 'GAL', 'PLP2', 'ANGPTL4', 'CD46', 'RAD1', 'CDKN1C', 'ANKRD57', 'MRPS30', 'FSTL3', 'BEGAIN', 'PEPD', 'CAMKK2', 'GYS1', 'PTGS2', 'AKAP13', 'TAF7L', 'HYAL1', 'IMPA2', 'CUX1', 'HYAL3', 'ADRBK1', 'C11ORF49', 'BRD9', 'DCPS', 'SLC17A4', 'CD55', 'GABRQ', 'HBE1', 'PLCL2', 'BTNL2', 'SDHAP1', 'MATK', 'TJAP1', 'UCKL1', 'TICAM1', 'MUC3B', 'PMS2L11', 'SDHA', 'LRFN4', 'OLFM1', 'MADD', 'RAB31', 'DOK4', 'COL5A1', 'LY6D', 'GOLGA8A', 'OSBP2', 'CRTC3', 'NFIX', 'NDUFB11', 'CD83', 'RNF39', 'RBM4B', 'INPPL1', 'FBLN1', 'C8ORF30A', 'NUP160', 'DNAJC28', 'NDRG1', 'HOXA11', 'SLK', 'DENND5B', 'GRB10', 'PDE8B', 'PPFIA4', 'USP47', 'ZNF783', 'SMAD2', 'FTSJ1', 'POLRMT', 'NUP155', 'DNAJC16', 'LOC100129648', 'GNAL', 'EFNA1', 'REEP1', 'SCCPDH', 'KIFC3', 'TRAF4', 'THOP1', 'NAB1', 'FAM13A', 'LOC646808', 'CAMSAP1', 'NR4A1', 'WISP2', 'PORCN', 'EBP', 'NIPBL', 'PDZD2', 'BAG1', 'BTBD3', 'PLXNA3', 'MUC13', 'PI3', 'CEP350', 'MUC16', 'TRIM66', 'MAP2K6', 'ANKZF1', 'SH3GL2', 'HGSNAT', 'BCKDHA', 'POU2F1', 'ZFHX3', 'KCNJ12', 'HSPA6', 'LAMB3', 'LANCL1', 'GALNT2', 'RAD23A', 'C7ORF68', 'URB1', 'MT4', 'BMP6', 'NPEPL1', 'COQ4', 'MFAP5', 'CPS1', 'MYO3A', 'NDUFS6', 'COL7A1', 'PDE3A', 'KCNK1', 'ALPI', 'TMEM45A', 'SLC26A6', 'KHDRBS2', 'MCTP1', 'LAMC3', 'TTC28', 'ITPR1', 'RAI1', 'SHARPIN', 'CASP9', 'TBXA2R', 'FCHO1', 'PDE4A', 'CA9', 'PLEKHG3', 'DDX17', 'PDPK1', 'NAGA', 'COBL', 'SOD2', 'PAPD7', 'S100P', 'TELO2', 'ANAPC2', 'FOLR1', 'HCN2', 'MVK', 'MYLK3', 'PIWIL2', 'STEAP4', 'ACADVL', 'COL15A1', 'SEMA3B', 'WIZ', 'SRI', 'ZBTB43', 'EHMT2', 'SEMA3F', 'KIAA0101', 'USH1C', 'CLN6', 'TRIM29', 'PHKG1', 'PPP2R1B', 'KYNU', 'LRRC8E', 'HMG20B', 'SNTA1', 'DCAF15', 'Na']
